D0,QD,FN0,QFN,T0,gamma,Nc,D,FN,realisation,temperature,stress,time_primary,strain_primary,time_secondary,strain_secondary,time_tertiary,strain_tertiary,time_failure,strain_failure
3.15E-07,91750,13070000000,65150,254,0.3711,0.0002991,4.48E-14,179813.9697,0,700,105,2559120.808,0.0069428,1839120.808,0.005185323,2559120.808,0.0069428,2559120.808,0.0069428
3.15E-07,73400,4356000000,97730,254,0.3711,0.0002991,1.05E-12,222.0938519,0,700,105,15807120.81,0.036323567,11775120.81,0.027319838,15807120.81,0.036323567,15807120.81,0.036323567
3.15E-07,73400,4356000000,81440,254,0.3711,0.0002991,1.05E-12,3648.262881,0,700,105,5295120.808,0.01309149,3999120.808,0.010086463,5295120.808,0.01309149,5295120.808,0.01309149
3.15E-07,73400,4356000000,65150,254,0.3711,0.0002991,1.05E-12,59928.81807,0,700,105,1983120.808,0.005639547,1263120.808,0.003861501,1983120.808,0.005639547,1983120.808,0.005639547
3.15E-07,73400,8711000000,97730,254,0.3711,0.0002991,1.05E-12,444.1367181,0,700,105,10911120.81,0.025577479,8751120.808,0.020663025,10911120.81,0.025577479,10911120.81,0.025577479
3.15E-07,73400,8711000000,81440,254,0.3711,0.0002991,1.05E-12,7295.688236,0,700,105,3711120.808,0.00954092,2703120.808,0.007159923,3711120.808,0.00954092,3711120.808,0.00954092
1.57E-07,110100,8711000000,65150,254,0.3711,0.0002991,9.58E-16,119843.8784,0,700,105,9039120.808,0.02140567,7599120.808,0.018100477,9039120.808,0.02140567,9039120.808,0.02140567
3.15E-07,73400,8711000000,65150,254,0.3711,0.0002991,1.05E-12,119843.8784,0,700,105,1551120.808,0.004880713,975120.8076,0.003193989,1551120.808,0.004880713,1551120.808,0.004880713
3.15E-07,73400,13070000000,97730,254,0.3711,0.0002991,1.05E-12,666.3835272,0,700,105,8751120.808,0.020811832,7023120.808,0.016838799,8751120.808,0.020811832,8751120.808,0.020811832
3.15E-07,73400,13070000000,81440,254,0.3711,0.0002991,1.05E-12,10946.46369,0,700,105,2991120.808,0.007895381,2127120.808,0.005848376,2991120.808,0.007895381,2991120.808,0.007895381
3.15E-07,73400,13070000000,65150,254,0.3711,0.0002991,1.05E-12,179813.9697,0,700,105,1263120.808,0.004035902,687120.8076,0.002509086,1263120.808,0.004035902,1263120.808,0.004035902
4.72E-07,110100,4356000000,81440,254,0.3711,0.0002991,2.87E-15,3648.262881,0,700,105,27759120.81,0.062812629,13503120.81,0.031092987,27759120.81,0.062812629,27759120.81,0.062812629
4.72E-07,110100,4356000000,65150,254,0.3711,0.0002991,2.87E-15,59928.81807,0,700,105,8751120.808,0.020762805,7455120.808,0.017783741,8751120.808,0.020762805,8751120.808,0.020762805
4.72E-07,110100,8711000000,81440,254,0.3711,0.0002991,2.87E-15,7295.688236,0,700,105,18543120.81,0.042299049,13071120.81,0.030150785,18543120.81,0.042299049,18543120.81,0.042299049
4.72E-07,110100,8711000000,65150,254,0.3711,0.0002991,2.87E-15,119843.8784,0,700,105,6015120.808,0.014704671,4719120.808,0.011691356,6015120.808,0.014704671,6015120.808,0.014704671
4.72E-07,110100,13070000000,81440,254,0.3711,0.0002991,2.87E-15,10946.46369,0,700,105,14655120.81,0.033746014,11919120.81,0.027623874,14655120.81,0.033746014,14655120.81,0.033746014
4.72E-07,110100,13070000000,65150,254,0.3711,0.0002991,2.87E-15,179813.9697,0,700,105,4863120.808,0.012145417,3711120.808,0.009428517,4863120.808,0.012145417,4863120.808,0.012145417
4.72E-07,91750,4356000000,97730,254,0.3711,0.0002991,6.73E-14,222.0938519,0,700,105,34959120.81,0.079181047,13503120.81,0.031092652,34959120.81,0.079181047,34959120.81,0.079181047
4.72E-07,91750,4356000000,81440,254,0.3711,0.0002991,6.73E-14,3648.262881,0,700,105,11343120.81,0.026521029,9327120.808,0.02192481,11343120.81,0.026521029,11343120.81,0.026521029
4.72E-07,91750,4356000000,65150,254,0.3711,0.0002991,6.73E-14,59928.81807,0,700,105,3711120.808,0.009501757,2847120.808,0.007481249,3711120.808,0.009501757,3711120.808,0.009501757
4.72E-07,91750,8711000000,97730,254,0.3711,0.0002991,6.73E-14,444.1367181,0,700,105,23871120.81,0.054121877,13359120.81,0.030781865,23871120.81,0.054121877,23871120.81,0.054121877
4.72E-07,91750,8711000000,81440,254,0.3711,0.0002991,6.73E-14,7295.688236,0,700,105,7599120.808,0.01820661,6159120.808,0.014909525,7599120.808,0.01820661,7599120.808,0.01820661
4.72E-07,91750,8711000000,65150,254,0.3711,0.0002991,6.73E-14,119843.8784,0,700,105,2703120.808,0.007267172,1839120.808,0.005183908,2703120.808,0.007267172,2703120.808,0.007267172
4.72E-07,91750,13070000000,97730,254,0.3711,0.0002991,6.73E-14,666.3835272,0,700,105,18975120.81,0.043288984,12927120.81,0.029837916,18975120.81,0.043288984,18975120.81,0.043288984
1.57E-07,110100,13070000000,81440,254,0.3711,0.0002991,9.58E-16,10946.46369,0,700,105,22719120.81,0.051559295,13359120.81,0.030778794,22719120.81,0.051559295,22719120.81,0.051559295
4.72E-07,91750,13070000000,81440,254,0.3711,0.0002991,6.73E-14,10946.46369,0,700,105,6159120.808,0.01503898,4863120.808,0.012018426,6159120.808,0.01503898,6159120.808,0.01503898
4.72E-07,91750,13070000000,65150,254,0.3711,0.0002991,6.73E-14,179813.9697,0,700,105,2271120.808,0.006327052,1551120.808,0.004524061,2271120.808,0.006327052,2271120.808,0.006327052
4.72E-07,73400,4356000000,97730,254,0.3711,0.0002991,1.57E-12,222.0938519,0,700,105,13215120.81,0.030652621,10335120.81,0.024158779,13215120.81,0.030652621,13215120.81,0.030652621
4.72E-07,73400,4356000000,81440,254,0.3711,0.0002991,1.57E-12,3648.262881,0,700,105,4431120.808,0.011139884,3279120.808,0.008465445,4431120.808,0.011139884,4431120.808,0.011139884
4.72E-07,73400,4356000000,65150,254,0.3711,0.0002991,1.57E-12,59928.81807,0,700,105,1695120.808,0.00495112,1119120.808,0.003530003,1695120.808,0.00495112,1695120.808,0.00495112
4.72E-07,73400,8711000000,97730,254,0.3711,0.0002991,1.57E-12,444.1367181,0,700,105,9183120.808,0.021788385,7311120.808,0.017481097,9183120.808,0.021788385,9183120.808,0.021788385
4.72E-07,73400,8711000000,81440,254,0.3711,0.0002991,1.57E-12,7295.688236,0,700,105,3135120.808,0.008225948,2127120.808,0.005848283,3135120.808,0.008225948,3135120.808,0.008225948
4.72E-07,73400,8711000000,65150,254,0.3711,0.0002991,1.57E-12,119843.8784,0,700,105,1263120.808,0.003962251,831120.8076,0.002856865,1263120.808,0.003962251,1263120.808,0.003962251
4.72E-07,73400,13070000000,97730,254,0.3711,0.0002991,1.57E-12,666.3835272,0,700,105,7311120.808,0.017601584,5727120.808,0.013958579,7311120.808,0.017601584,7311120.808,0.017601584
4.72E-07,73400,13070000000,81440,254,0.3711,0.0002991,1.57E-12,10946.46369,0,700,105,2559120.808,0.006910631,1695120.808,0.004858949,2559120.808,0.006910631,2559120.808,0.006910631
1.57E-07,110100,13070000000,65150,254,0.3711,0.0002991,9.58E-16,179813.9697,0,700,105,7167120.808,0.017238085,6015120.808,0.01458473,7167120.808,0.017238085,7167120.808,0.017238085
4.72E-07,73400,13070000000,65150,254,0.3711,0.0002991,1.57E-12,179813.9697,0,700,105,1119120.808,0.003728187,687120.8076,0.0025155,1119120.808,0.003728187,1119120.808,0.003728187
1.57E-07,110100,4356000000,97730,254,0.3711,0.0002991,9.58E-16,222.0938519,0,700,122,15087120.81,0.109869025,4143120.808,0.030441961,13503120.81,0.097793556,15087120.81,0.109869025
