tau_sat,b,tau_0,gamma_0,n,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30
50.0,0.8,800.0,3.333e-05,2.0,0.5,-3.5253e-15,1518.7,1642.9,1655.6,1658.0,1659.1,1659.8,1660.5,1660.9,1661.3,1661.4,1661.6,1661.6,1661.6,1661.4,1661.2,1660.9,1660.6,1660.3,1659.9,1659.6,1659.1,1658.7,1658.3,1657.8,1657.4,1656.9,1656.6,1656.1,1655.8
50.0,1.6,50.0,3.333e-05,2.0,0.5,-1.2118e-15,114.68,120.42,127.47,134.13,140.16,145.61,150.53,154.97,158.98,162.59,165.86,168.8,171.45,173.84,175.99,177.93,179.67,181.24,182.65,183.92,185.05,186.08,187.0,187.81,188.55,189.22,189.82,190.34,190.82
50.0,1.6,100.0,3.333e-05,2.0,0.5,-9.6945e-15,220.1,223.34,229.92,236.39,242.27,247.55,252.31,256.6,260.44,263.9,267.01,269.8,272.3,274.54,276.55,278.34,279.94,281.38,282.65,283.78,284.8,285.7,286.5,287.21,287.84,288.4,288.89,289.33,289.71
50.0,1.6,200.0,3.333e-05,2.0,0.5,-7.4912e-15,429.64,429.13,434.86,440.98,446.54,451.51,455.95,459.91,463.44,466.59,469.39,471.87,474.05,476.0,477.7,479.21,480.53,481.69,482.7,483.57,484.34,484.99,485.55,486.03,486.44,486.78,487.08,487.32,487.51
50.0,1.6,400.0,3.333e-05,2.0,0.5,2.644e-15,833.2,839.94,844.96,850.44,855.36,859.68,863.47,866.79,869.69,872.19,874.36,876.21,877.79,879.13,880.24,881.16,881.91,882.52,882.98,883.33,883.58,883.74,883.81,883.83,883.8,883.71,883.58,883.43,883.25
50.0,1.6,800.0,3.333e-05,2.0,0.5,-1.5864e-14,1520.0,1648.1,1664.6,1670.2,1674.0,1677.1,1679.6,1681.6,1683.1,1684.4,1685.3,1685.8,1686.1,1686.3,1686.2,1685.9,1685.5,1685.0,1684.3,1683.6,1682.8,1681.9,1681.0,1680.1,1679.1,1678.1,1677.2,1676.3,1675.2
50.0,3.2,50.0,3.333e-05,2.0,0.5,-1.4321e-15,122.5,134.41,145.88,155.59,163.61,170.19,175.59,180.02,183.63,186.58,188.98,190.91,192.48,193.73,194.72,195.51,196.12,196.58,196.93,197.18,197.36,197.47,197.52,197.54,197.53,197.49,197.43,197.36,197.27
50.0,3.2,100.0,3.333e-05,2.0,0.5,-6.6099e-16,227.55,237.06,248.14,257.74,265.63,272.1,277.37,281.65,285.13,287.93,290.18,291.97,293.39,294.49,295.34,295.97,296.44,296.77,296.98,297.1,297.15,297.13,297.08,296.97,296.85,296.71,296.54,296.36,296.19
50.0,3.2,200.0,3.333e-05,2.0,0.5,-3.9659e-15,436.31,442.31,452.7,462.08,469.76,475.98,480.99,485.0,488.19,490.7,492.65,494.14,495.26,496.06,496.62,496.96,497.15,497.2,497.13,496.99,496.78,496.51,496.21,495.87,495.53,495.16,494.79,494.41,494.04
50.0,3.2,400.0,3.333e-05,2.0,0.5,4.4066e-15,838.3,851.95,861.99,870.98,878.23,883.97,888.45,891.92,894.54,896.45,897.82,898.71,899.22,899.43,899.39,899.16,898.76,898.25,897.63,896.95,896.21,895.44,894.64,893.83,893.02,892.22,891.43,890.65,889.89
50.0,3.2,800.0,3.333e-05,2.0,0.5,-3.5253e-15,1522.8,1657.5,1679.7,1689.4,1696.0,1700.8,1704.3,1706.7,1708.1,1708.9,1709.1,1708.8,1708.1,1707.0,1705.8,1704.4,1702.8,1701.2,1699.5,1697.6,1695.8,1694.0,1692.2,1690.4,1688.7,1687.0,1685.2,1683.7,1682.1
50.0,6.4,50.0,3.333e-05,2.0,0.5,-8.8132e-16,135.87,155.4,170.2,180.56,187.66,192.48,195.72,197.86,199.25,200.12,200.61,200.87,200.96,200.92,200.81,200.65,200.45,200.23,199.99,199.76,199.52,199.29,199.06,198.82,198.61,198.39,198.19,197.99,197.8
