VSH_TAU_0,VSH_TAU_SAT,VSH_B,AI_N,AI_GAMMA0,VIHR_S0,VIHR_R,VIHR_D,GPL_N,GPL_ETA,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25
100.0,500.0,0.1,5.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.50897454497287,316.16,325.52,336.87,344.74,352.16,359.16,367.93,374.11,381.84,387.28,394.08,398.86,404.79,410.24,415.22,419.74,423.79,428.2,431.21,434.3,436.21,437.88,438.7,438.29,436.29
100.0,500.0,0.1,10.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.43664737529103,286.9,292.39,300.2,307.7,312.5,319.47,326.07,332.36,338.27,343.9,349.18,354.1,358.64,362.76,367.56,370.59,373.74,375.72,376.23,374.88,369.95,358.91,341.07,319.53,294.86
100.0,500.0,0.1,15.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.39250059203417,272.56,281.07,286.39,291.52,298.81,303.41,310.2,314.42,320.49,324.31,329.7,334.66,339.21,343.28,346.79,349.58,351.5,352.13,349.89,344.4,331.07,314.81,293.63,271.85,251.81
100.0,500.0,0.1,20.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.20938502844977,262.15,266.45,272.39,275.25,277.8,280.42,285.49,287.96,290.37,292.74,297.53,299.75,301.92,306.3,308.38,312.28,314.28,316.07,319.67,321.4,324.67,326.22,329.2,330.66,333.15
100.0,500.0,1.0,1.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.42702715432778,427.84,501.63,573.96,644.92,714.47,799.38,865.64,930.39,993.6,1055.2,1115.2,1173.5,1230.0,1284.6,1337.2,1387.7,1435.9,1481.8,1525.1,1565.6,1603.2,1637.6,1661.2,1689.3,1713.5
100.0,500.0,1.0,5.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.46585617259064,357.67,422.56,483.14,541.48,597.89,652.41,705.05,755.76,804.51,851.25,895.95,938.54,978.98,1017.2,1053.1,1086.7,1117.9,1146.6,1172.7,1196.1,1216.7,1234.4,1249.0,1262.5,1269.3
100.0,500.0,1.0,10.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.45752870748394,335.93,386.0,445.73,502.03,556.08,595.33,646.02,694.84,741.77,786.78,829.81,870.8,900.16,937.39,972.29,1004.7,1034.4,1060.9,1084.0,1102.8,1116.4,1123.5,1119.4,1092.3,1014.7
100.0,500.0,1.0,15.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.44038948789806,327.14,377.91,422.98,479.25,532.92,571.81,622.01,670.35,705.38,750.43,793.55,824.57,864.11,901.45,936.43,960.97,991.12,1017.9,1040.5,1057.8,1067.7,1066.2,1033.8,934.68,785.8
100.0,500.0,1.0,20.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.4295128986727,322.38,373.61,418.66,460.91,514.7,566.33,603.78,652.1,687.12,732.19,764.73,806.37,845.96,874.21,909.82,942.83,965.62,992.93,1015.9,1029.4,1040.2,1031.9,972.71,836.13,691.98
100.0,500.0,10.0,1.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.3515891320867,495.92,673.08,837.14,990.9,1112.0,1227.3,1337.3,1421.8,1523.2,1601.3,1676.5,1749.1,1801.8,1869.6,1934.5,1981.2,2026.1,2083.0,2123.1,2161.0,2196.4,2228.9,2258.3,2284.0,2305.5
100.0,500.0,10.0,5.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.37295549298567,536.24,782.21,975.27,1150.7,1265.4,1371.1,1466.9,1535.8,1596.8,1636.9,1681.9,1708.5,1728.3,1737.4,1744.2,1742.2,1731.2,1719.4,1695.9,1666.2,1631.2,1577.3,1531.7,1462.2,1379.6
100.0,500.0,10.0,10.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.30986066264797,500.84,692.6,892.17,1022.3,1142.5,1252.3,1331.9,1403.3,1450.7,1492.1,1526.4,1544.7,1563.7,1569.1,1566.5,1543.5,1515.9,1481.3,1419.8,1342.9,1239.3,1078.2,882.18,733.77,614.78
