tau_sat,b,tau_0,gamma_0,n,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30
100.0,1.0,100.0,3.333e-05,32.0,0.2,-5.0676e-15,309.03,316.03,322.48,328.7,334.76,340.7,346.53,352.24,357.83,363.31,368.69,373.99,379.18,384.3,389.32,394.27,399.15,403.95,408.66,413.3,417.86,422.33,426.72,431.02,435.24,439.35,443.4,447.36,451.24
100.0,2.0,100.0,3.333e-05,1.0,0.2,2.644e-15,447.75,511.32,538.84,560.64,581.11,600.44,618.85,636.23,652.93,668.87,683.98,698.29,711.99,725.01,737.41,749.2,760.41,770.99,781.16,790.69,800.0,808.33,816.88,825.09,832.73,839.92,846.74,853.13,858.59
100.0,2.0,100.0,3.333e-05,2.0,0.2,-4.4066e-15,401.73,425.93,442.94,459.01,474.36,489.06,503.12,516.56,529.44,541.75,553.52,564.8,575.56,585.88,595.74,605.18,614.21,622.84,631.11,639.01,646.58,653.82,660.74,667.37,673.71,679.79,685.59,691.15,696.48
100.0,2.0,100.0,3.333e-05,4.0,0.2,-5.0676e-15,359.69,375.19,389.01,402.22,414.89,427.05,438.73,449.93,460.69,471.0,480.91,490.42,499.55,508.32,516.73,524.82,532.57,540.02,547.17,554.04,560.64,566.98,573.07,578.92,584.53,589.93,595.11,600.1,604.89
100.0,2.0,100.0,3.333e-05,8.0,0.2,-8.3725e-15,333.58,346.98,359.53,371.52,383.04,394.11,404.76,415.0,424.85,434.31,443.41,452.16,460.58,468.67,476.45,483.93,491.12,498.04,504.69,511.1,517.25,523.18,528.87,534.36,539.64,544.71,549.6,554.31,558.83
100.0,2.0,100.0,3.333e-05,16.0,0.2,-5.5082e-15,320.05,333.01,345.13,356.69,367.78,378.44,388.69,398.55,408.01,417.11,425.85,434.26,442.35,450.14,457.63,464.85,471.79,478.47,484.91,491.11,497.08,502.84,508.39,513.7,518.82,523.75,528.48,533.03,537.41
100.0,2.0,100.0,3.333e-05,32.0,0.2,-4.8473e-15,313.43,326.26,338.2,349.58,360.48,370.94,381.0,390.66,399.93,408.84,417.39,425.62,433.55,441.17,448.51,455.6,462.43,469.03,475.36,481.48,487.38,493.06,498.52,503.76,508.82,513.66,518.3,522.76,527.05
100.0,4.0,100.0,3.333e-05,1.0,0.2,-2.2033e-15,455.43,536.93,581.72,618.86,651.85,681.99,709.64,734.54,757.5,778.28,797.22,814.25,829.74,843.76,856.71,868.3,878.85,888.4,896.97,904.89,911.97,918.29,924.02,929.31,934.03,938.31,942.2,944.97,948.48
100.0,4.0,100.0,3.333e-05,2.0,0.2,4.4066e-16,410.31,449.59,479.9,507.5,532.79,555.97,577.22,596.69,614.51,630.84,645.79,659.48,672.01,683.48,693.98,703.59,712.39,720.44,727.83,734.59,740.78,746.45,751.65,756.42,760.79,764.81,768.5,771.88,775.0
100.0,4.0,100.0,3.333e-05,4.0,0.2,-2.644e-15,368.38,396.42,421.26,444.11,465.15,484.54,502.41,518.86,534.02,547.98,560.84,572.69,583.61,593.66,602.93,611.47,619.34,626.6,633.3,639.47,645.17,650.43,655.28,659.77,663.91,667.74,671.29,674.57,677.61
100.0,4.0,100.0,3.333e-05,8.0,0.2,-4.6269e-15,342.15,366.9,389.44,410.19,429.33,447.01,463.33,478.39,492.3,505.15,517.01,527.96,538.07,547.42,556.06,564.03,571.4,578.21,584.51,590.35,595.75,600.75,605.38,609.67,613.66,617.35,620.78,623.96,626.92
100.0,4.0,100.0,3.333e-05,16.0,0.2,-4.8473e-15,328.54,352.34,374.04,393.97,412.36,429.35,445.02,459.5,472.86,485.19,496.56,507.08,516.78,525.77,534.08,541.77,548.89,555.48,561.58,567.24,572.5,577.39,581.92,586.11,589.99,593.59,596.94,600.03,602.91
100.0,4.0,100.0,3.333e-05,32.0,0.2,-6.1692e-15,321.87,345.31,366.62,386.2,404.25,420.91,436.27,450.45,463.54,475.59,486.72,497.0,506.5,515.29,523.43,530.96,537.95,544.46,550.47,556.06,561.26,566.09,570.58,574.73,578.58,582.13,585.4,588.45,591.28
100.0,8.0,100.0,3.333e-05,1.0,0.2,-1.322e-15,468.77,579.02,649.02,705.11,751.72,790.97,823.68,850.93,873.56,892.32,907.72,919.94,930.2,938.39,945.85,952.21,957.24,960.42,963.88,966.65,968.85,970.53,972.08,973.08,974.04,975.18,975.9,976.55,977.05
100.0,8.0,100.0,3.333e-05,2.0,0.2,-7.0506e-15,426.05,490.31,539.94,581.8,617.21,647.08,672.26,693.43,711.22,726.16,738.69,749.21,758.04,765.45,771.68,776.92,781.33,785.06,788.2,790.88,793.14,795.07,796.73,798.15,799.38,800.45,801.38,802.2,802.92
100.0,8.0,100.0,3.333e-05,4.0,0.2,-5.0676e-15,384.41,433.4,474.37,509.29,539.04,564.38,585.91,604.22,619.77,632.98,644.2,653.75,661.86,668.76,674.64,679.65,683.94,687.61,690.75,693.45,695.79,697.81,699.56,701.08,702.41,703.58,704.62,705.54,706.36
100.0,8.0,100.0,3.333e-05,8.0,0.2,2.644e-15,358.01,401.7,438.86,470.59,497.67,520.78,540.5,557.33,571.67,583.91,594.37,603.3,610.93,617.46,623.06,627.86,631.99,635.56,638.64,641.32,643.63,645.66,647.44,649.01,650.39,651.61,652.71,653.7,654.59
100.0,8.0,100.0,3.333e-05,16.0,0.2,-1.5423e-15,344.27,386.13,421.78,452.18,478.14,500.27,519.18,535.3,549.06,560.78,570.8,579.35,586.67,592.97,598.37,603.03,607.05,610.55,613.57,616.22,618.53,620.59,622.39,623.97,625.36,626.6,627.71,628.7,629.59
100.0,8.0,100.0,3.333e-05,32.0,0.2,4.4066e-16,337.51,378.6,413.58,443.38,468.8,490.48,508.98,524.75,538.19,549.66,559.42,567.77,574.92,581.07,586.35,590.92,594.88,598.35,601.37,604.01,606.34,608.4,610.22,611.84,613.26,614.5,615.59,616.56,617.45
100.0,16.0,100.0,3.333e-05,1.0,0.2,-6.6099e-15,491.45,641.57,740.22,810.9,861.93,898.24,922.26,940.54,953.18,961.64,967.22,970.99,973.69,975.5,976.69,977.52,977.91,978.27,978.56,978.78,978.9,979.04,978.17,978.26,978.23,978.59,978.74,978.65,978.72
100.0,16.0,100.0,3.333e-05,2.0,0.2,-4.4066e-16,452.93,552.77,623.07,674.29,711.26,737.71,756.5,769.82,779.24,785.91,790.65,794.04,796.49,798.27,799.59,800.58,801.35,801.97,802.47,802.9,803.26,803.59,803.9,804.17,804.45,804.71,804.96,805.21,805.45
100.0,16.0,100.0,3.333e-05,4.0,0.2,-2.644e-15,412.08,491.07,549.12,591.86,623.09,645.8,662.27,674.21,682.86,689.15,693.75,697.13,699.63,701.5,702.92,704.02,704.87,705.57,706.14,706.63,707.05,707.43,707.77,708.1,708.41,708.7,708.99,709.26,709.54
100.0,16.0,100.0,3.333e-05,8.0,0.2,3.3049e-15,385.51,456.21,508.66,547.3,575.64,596.34,611.47,622.53,630.64,636.6,641.01,644.31,646.79,648.69,650.16,651.32,652.25,653.02,653.67,654.24,654.75,655.2,655.63,656.03,656.41,656.78,657.15,657.49,657.85
100.0,16.0,100.0,3.333e-05,16.0,0.2,-4.4066e-16,371.57,439.04,489.14,525.98,552.98,572.73,587.18,597.75,605.52,611.24,615.48,618.66,621.06,622.92,624.39,625.55,626.53,627.35,628.06,628.69,629.27,629.82,630.33,630.79,631.21,631.63,632.03,632.4,632.77
100.0,16.0,100.0,3.333e-05,32.0,0.2,-1.983e-15,364.68,430.73,479.75,515.75,542.13,561.41,575.5,585.83,593.41,598.98,603.11,606.19,608.53,610.35,611.79,612.96,613.95,614.81,615.56,616.23,616.86,617.45,618.0,618.52,619.01,619.44,619.83,620.2,620.57
100.0,0.25,200.0,3.333e-05,1.0,0.2,-2.644e-15,696.3,888.8,953.15,976.37,986.03,991.49,995.37,998.58,1001.8,1004.8,1007.7,1010.4,1013.5,1016.2,1019.2,1022.2,1025.0,1027.9,1030.6,1033.6,1036.1,1038.4,1041.2,1044.2,1047.1,1049.8,1052.3,1054.0,1057.1
100.0,0.25,200.0,3.333e-05,2.0,0.2,-1.322e-15,705.87,789.38,802.24,806.28,809.05,811.6,814.1,816.58,819.04,821.49,823.94,826.37,828.79,831.2,833.6,835.99,838.37,840.74,843.09,845.44,847.78,850.11,852.42,854.73,857.03,859.31,861.59,863.85,866.11
100.0,0.25,200.0,3.333e-05,4.0,0.2,8.8132e-16,670.25,703.21,707.41,709.79,711.91,713.98,716.02,718.06,720.09,722.12,724.15,726.17,728.2,730.21,732.22,734.23,736.23,738.23,740.22,742.21,744.2,746.17,748.15,750.11,752.08,754.04,755.99,757.94,759.88
100.0,0.25,200.0,3.333e-05,8.0,0.2,8.8132e-16,633.82,650.76,653.89,656.04,658.01,659.94,661.85,663.77,665.7,667.63,669.56,671.49,673.41,675.34,677.27,679.2,681.12,683.03,684.94,686.86,688.77,690.67,692.58,694.48,696.37,698.27,700.16,702.04,703.91
100.0,0.25,200.0,3.333e-05,16.0,0.2,-3.0846e-15,611.14,623.71,626.99,629.34,631.39,633.35,635.29,637.21,639.13,641.03,642.91,644.8,646.69,648.57,650.48,652.38,654.3,656.22,658.14,660.06,661.99,663.93,665.86,667.77,669.65,671.53,673.4,675.25,677.09
100.0,0.25,200.0,3.333e-05,32.0,0.2,-4.4066e-16,598.61,610.5,613.91,616.43,618.54,620.52,622.47,624.38,626.29,628.15,629.99,631.82,633.66,635.52,637.4,639.29,641.2,643.13,645.07,647.01,648.97,650.92,652.87,654.82,656.73,658.6,660.43,662.25,664.05
100.0,0.5,200.0,3.333e-05,1.0,0.2,-1.7626e-15,696.72,890.81,957.52,983.77,996.45,1004.5,1011.0,1017.0,1022.9,1028.6,1034.1,1039.7,1045.1,1050.3,1055.6,1061.1,1066.3,1071.2,1076.2,1080.5,1085.7,1090.7,1095.6,1100.5,1105.2,1109.8,1114.3,1118.8,1123.3
100.0,0.5,200.0,3.333e-05,2.0,0.2,-4.4066e-16,706.34,791.69,806.77,813.03,818.0,822.69,827.29,831.84,836.33,840.79,845.19,849.56,853.87,858.14,862.37,866.56,870.71,874.81,878.87,882.89,886.87,890.81,894.71,898.57,902.4,906.17,909.92,913.63,917.3
100.0,0.5,200.0,3.333e-05,4.0,0.2,-4.8473e-15,670.82,705.54,711.57,715.77,719.67,723.48,727.26,730.99,734.7,738.37,742.02,745.64,749.22,752.78,756.31,759.81,763.29,766.73,770.15,773.54,776.9,780.24,783.54,786.82,790.07,793.3,796.5,799.67,802.82
100.0,0.5,200.0,3.333e-05,8.0,0.2,6.1692e-15,634.47,653.05,657.84,661.62,665.21,668.72,672.2,675.66,679.1,682.53,685.93,689.31,692.67,696.01,699.32,702.6,705.87,709.11,712.34,715.54,718.71,721.85,724.99,728.09,731.18,734.24,737.28,740.29,743.28
100.0,0.5,200.0,3.333e-05,16.0,0.2,-6.1692e-15,611.82,625.97,630.84,634.76,638.35,641.83,645.27,648.67,652.04,655.37,658.67,661.95,665.21,668.45,671.68,674.89,678.1,681.29,684.47,687.63,690.77,693.9,697.02,700.1,703.12,706.12,709.1,712.04,714.95
100.0,0.5,200.0,3.333e-05,32.0,0.2,8.8132e-15,599.32,612.75,617.7,621.77,625.39,628.86,632.28,635.64,638.97,642.24,645.47,648.66,651.84,655.02,658.2,661.38,664.55,667.72,670.9,674.05,677.19,680.33,683.43,686.52,689.55,692.54,695.46,698.34,701.2
100.0,1.0,200.0,3.333e-05,1.0,0.2,-7.9319e-15,697.47,894.62,964.97,997.28,1015.9,1029.3,1040.4,1051.8,1062.6,1072.6,1082.8,1092.4,1101.8,1110.6,1119.4,1128.1,1136.7,1145.3,1153.3,1161.2,1169.0,1176.4,1183.6,1190.9,1197.9,1203.8,1210.6,1217.5,1224.0
100.0,1.0,200.0,3.333e-05,2.0,0.2,-4.8473e-15,707.3,796.25,815.6,826.09,835.11,843.73,852.12,860.31,868.34,876.19,883.87,891.38,898.74,905.93,912.98,919.87,926.63,933.23,939.69,946.02,952.21,958.28,964.21,970.02,975.71,981.27,986.72,992.06,997.28
100.0,1.0,200.0,3.333e-05,4.0,0.2,-1.1898e-14,671.96,710.12,719.71,727.34,734.57,741.6,748.49,755.24,761.87,768.35,774.72,780.97,787.11,793.12,799.02,804.82,810.49,816.07,821.54,826.91,832.17,837.34,842.41,847.38,852.27,857.06,861.77,866.38,870.92
100.0,1.0,200.0,3.333e-05,8.0,0.2,-8.8132e-16,635.74,657.56,665.54,672.44,679.03,685.46,691.76,697.96,704.06,710.05,715.93,721.72,727.4,732.98,738.48,743.86,749.15,754.35,759.46,764.48,769.42,774.27,779.03,783.7,788.3,792.82,797.26,801.62,805.91
100.0,1.0,200.0,3.333e-05,16.0,0.2,8.8132e-15,613.17,630.44,638.35,645.25,651.71,657.99,664.14,670.17,676.08,681.87,687.56,693.13,698.62,704.02,709.33,714.56,719.71,724.78,729.77,734.67,739.51,744.27,748.96,753.56,758.05,762.45,766.78,771.02,775.18
100.0,1.0,200.0,3.333e-05,32.0,0.2,3.9659e-15,600.7,617.19,625.13,632.09,638.55,644.76,650.82,656.76,662.58,668.27,673.83,679.28,684.64,689.92,695.13,700.29,705.36,710.37,715.33,720.19,724.97,729.71,734.36,738.94,743.41,747.79,752.05,756.2,760.27
