tau_sat,b,tau_0,gamma_0,n,g1_phi_1_start,g1_phi_1_end,g1_Phi_start,g1_Phi_end,g1_phi_2_start,g1_phi_2_end,g2_phi_1_start,g2_phi_1_end,g2_Phi_start,g2_Phi_end,g2_phi_2_start,g2_phi_2_end,g3_phi_1_start,g3_phi_1_end,g3_Phi_start,g3_Phi_end,g3_phi_2_start,g3_phi_2_end,g4_phi_1_start,g4_phi_1_end,g4_Phi_start,g4_Phi_end,g4_phi_2_start,g4_phi_2_end,g5_phi_1_start,g5_phi_1_end,g5_Phi_start,g5_Phi_end,g5_phi_2_start,g5_phi_2_end
50.0,0.4,800.0,3.333e-05,2.0,5.4619,5.4432,2.3446,2.3013,1.8218,1.7647,5.9657,5.8114,2.053,2.0364,2.1276,2.0766,5.7467,5.7834,2.4155,2.4129,1.3144,1.3844,5.0433,4.974,2.7234,2.6143,1.1961,1.1213,0.14859,0.23027,2.6323,2.6354,2.7999,2.8983
50.0,0.8,50.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3003,1.8218,1.7634,5.9657,5.807,2.053,2.0358,2.1276,2.0755,5.7467,5.7787,2.4155,2.4119,1.3144,1.3848,5.0433,4.9728,2.7234,2.6116,1.1961,1.1198,0.14859,0.23528,2.6323,2.6355,2.7999,2.9008
50.0,0.8,100.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3003,1.8218,1.7634,5.9657,5.8073,2.053,2.0358,2.1276,2.0756,5.7467,5.779,2.4155,2.412,1.3144,1.3848,5.0433,4.9728,2.7234,2.6118,1.1961,1.1199,0.14859,0.2351,2.6323,2.6355,2.7999,2.9008
50.0,0.8,200.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3004,1.8218,1.7636,5.9657,5.8079,2.053,2.0359,2.1276,2.0757,5.7467,5.7797,2.4155,2.4121,1.3144,1.3848,5.0433,4.973,2.7234,2.6121,1.1961,1.1201,0.14859,0.23447,2.6323,2.6354,2.7999,2.9005
50.0,0.8,400.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3007,1.8218,1.764,5.9657,5.8091,2.053,2.036,2.1276,2.076,5.7467,5.781,2.4155,2.4124,1.3144,1.3847,5.0433,4.9733,2.7234,2.6128,1.1961,1.1205,0.14859,0.23306,2.6323,2.6354,2.7999,2.8998
50.0,0.8,800.0,3.333e-05,2.0,5.4619,5.4432,2.3446,2.3013,1.8218,1.7648,5.9657,5.8114,2.053,2.0364,2.1276,2.0767,5.7467,5.7835,2.4155,2.4129,1.3144,1.3844,5.0433,4.9741,2.7234,2.6143,1.1961,1.1214,0.14859,0.23018,2.6323,2.6354,2.7999,2.8983
50.0,1.6,50.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3002,1.8218,1.7634,5.9657,5.8071,2.053,2.0358,2.1276,2.0755,5.7467,5.7787,2.4155,2.4119,1.3144,1.3848,5.0433,4.9728,2.7234,2.6116,1.1961,1.1198,0.14859,0.23525,2.6323,2.6355,2.7999,2.9008
50.0,1.6,100.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3003,1.8218,1.7634,5.9657,5.8074,2.053,2.0358,2.1276,2.0756,5.7467,5.7791,2.4155,2.412,1.3144,1.3848,5.0433,4.9729,2.7234,2.6118,1.1961,1.1199,0.14859,0.23505,2.6323,2.6355,2.7999,2.9007
50.0,1.6,200.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3004,1.8218,1.7636,5.9657,5.808,2.053,2.0359,2.1276,2.0757,5.7467,5.7798,2.4155,2.4121,1.3144,1.3848,5.0433,4.973,2.7234,2.6121,1.1961,1.1201,0.14859,0.23441,2.6323,2.6354,2.7999,2.9004
50.0,1.6,400.0,3.333e-05,2.0,5.4619,5.4431,2.3446,2.3007,1.8218,1.764,5.9657,5.8092,2.053,2.036,2.1276,2.076,5.7467,5.7811,2.4155,2.4124,1.3144,1.3847,5.0433,4.9734,2.7234,2.6129,1.1961,1.1205,0.14859,0.23299,2.6323,2.6354,2.7999,2.8997
50.0,1.6,800.0,3.333e-05,2.0,5.4619,5.4432,2.3446,2.3013,1.8218,1.7648,5.9657,5.8115,2.053,2.0364,2.1276,2.0767,5.7467,5.7836,2.4155,2.4129,1.3144,1.3844,5.0433,4.9741,2.7234,2.6144,1.1961,1.1214,0.14859,0.23011,2.6323,2.6354,2.7999,2.8982
50.0,3.2,50.0,3.333e-05,2.0,5.4619,5.443,2.3446,2.3002,1.8218,1.7633,5.9657,5.8071,2.053,2.0358,2.1276,2.0755,5.7467,5.7788,2.4155,2.4119,1.3144,1.3848,5.0433,4.9728,2.7234,2.6116,1.1961,1.1198,0.14859,0.23537,2.6323,2.6355,2.7999,2.9009
