tau_sat,b,tau_0,gamma_0,n,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30
50.0,0.8,400.0,3.333e-05,2.0,0.5,-2.8202e-14,1510.0,1638.9,1659.9,1671.0,1680.7,1689.9,1698.7,1707.2,1715.4,1723.3,1730.8,1738.1,1745.2,1752.0,1758.5,1764.8,1770.9,1776.8,1782.4,1787.9,1793.2,1798.3,1803.1,1807.9,1812.5,1817.0,1821.2,1825.4,1829.3
50.0,0.8,800.0,3.333e-05,2.0,0.5,1.5864e-14,2381.1,3044.0,3226.8,3284.7,3309.0,3323.8,3335.5,3346.1,3356.0,3365.5,3374.6,3383.5,3392.2,3400.4,3408.5,3416.2,3423.8,3431.1,3438.2,3445.1,3451.9,3458.3,3464.7,3470.7,3476.7,3482.4,3488.1,3493.6,3498.8
50.0,1.6,50.0,3.333e-05,2.0,0.5,-4.4066e-15,226.86,239.15,254.03,268.17,281.13,292.98,303.81,313.72,322.77,331.06,338.65,345.58,351.93,357.76,363.08,367.97,372.46,376.57,380.34,383.82,387.01,389.94,392.64,395.13,397.42,399.54,401.49,403.3,404.97
50.0,1.6,100.0,3.333e-05,2.0,0.5,-5.2879e-15,433.98,443.18,457.84,472.26,485.52,497.64,508.75,518.91,528.22,536.75,544.57,551.74,558.32,564.36,569.91,575.01,579.7,584.01,587.99,591.65,595.03,598.15,601.04,603.7,606.17,608.46,610.58,612.56,614.4
50.0,1.6,200.0,3.333e-05,2.0,0.5,-7.0506e-15,832.83,850.03,865.24,880.25,894.09,906.78,918.42,929.11,938.93,947.95,956.25,963.88,970.92,977.4,983.38,988.9,994.0,998.72,1003.1,1007.1,1010.9,1014.4,1017.7,1020.6,1023.5,1026.2,1028.6,1030.8,1033.1
50.0,1.6,400.0,3.333e-05,2.0,0.5,1.0576e-14,1512.7,1649.3,1677.7,1695.2,1710.5,1724.3,1737.0,1748.8,1759.6,1769.7,1778.9,1787.4,1795.4,1802.8,1809.6,1816.0,1822.0,1827.4,1832.6,1837.4,1841.9,1846.1,1850.2,1853.9,1857.4,1860.8,1863.9,1866.9,1869.7
50.0,1.6,800.0,3.333e-05,2.0,0.5,3.8778e-14,2381.9,3049.1,3238.8,3303.6,3334.1,3354.3,3370.6,3384.9,3398.0,3410.0,3421.3,3431.7,3441.5,3450.6,3459.2,3467.3,3474.8,3482.0,3488.7,3495.1,3501.1,3506.9,3512.3,3517.5,3522.4,3527.0,3531.6,3535.9,3540.0
50.0,3.2,50.0,3.333e-05,2.0,0.5,-1.983e-15,241.52,266.29,290.22,310.71,327.86,342.19,354.17,364.19,372.59,379.63,385.55,390.53,394.72,398.28,401.29,403.85,406.05,407.92,409.54,410.94,412.17,413.24,414.19,415.03,415.78,416.47,417.08,417.65,418.16
50.0,3.2,100.0,3.333e-05,2.0,0.5,3.9659e-15,447.09,469.22,493.26,514.27,531.9,546.66,559.03,569.41,578.13,585.46,591.66,596.9,601.33,605.11,608.34,611.11,613.5,615.59,617.4,618.98,620.38,621.63,622.75,623.76,624.68,625.52,626.3,627.02,627.69
50.0,3.2,200.0,3.333e-05,2.0,0.5,1.7626e-15,842.87,873.75,898.99,921.1,939.73,955.37,968.53,979.62,989.0,996.92,1003.7,1009.4,1014.3,1018.6,1022.2,1025.5,1028.3,1030.7,1032.9,1034.8,1036.6,1038.2,1039.7,1041.1,1042.3,1043.5,1044.5,1045.6,1046.6
50.0,3.2,400.0,3.333e-05,2.0,0.5,-1.7626e-15,1518.0,1667.9,1707.6,1733.4,1754.3,1771.8,1786.7,1799.2,1809.9,1819.1,1827.0,1833.8,1839.6,1844.9,1849.5,1853.5,1857.0,1860.3,1863.2,1865.9,1868.4,1870.7,1872.9,1874.9,1876.8,1878.6,1880.4,1882.1,1883.6
50.0,3.2,800.0,3.333e-05,2.0,0.5,-2.4677e-14,2383.4,3058.8,3259.9,3335.0,3373.2,3398.6,3418.3,3434.5,3448.2,3460.1,3470.4,3479.4,3487.4,3494.4,3500.8,3506.6,3511.8,3516.7,3521.1,3525.3,3529.3,3533.0,3536.4,3539.8,3543.1,3546.2,3549.1,3552.1,3554.9
50.0,6.4,50.0,3.333e-05,2.0,0.5,4.4066e-16,266.53,307.09,338.19,360.42,376.05,387.04,394.8,400.32,404.26,407.13,409.22,410.8,412.0,412.96,413.72,414.36,414.9,415.39,415.83,416.24,416.62,416.99,417.33,417.67,418.0,418.33,418.65,418.96,419.27
