tau_s,b,tau_0,gamma_0,n,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25
1,10,200,3.33e-05,2,144284.0575,0.0070035,0.013528,0.020108,0.020108,0.026748,0.033453,0.040225,0.047071,0.053995,0.061001,0.061001,0.068097,0.075291,0.082594,0.09003,0.097551,0.10136,0.10909,0.11698,0.12099,0.12919,0.13773,0.14453,0.15424,0.1617
1500,100,500,3.33e-05,1,255013.6831,0.012969,0.023612,0.023612,0.034273,0.045003,0.055819,0.055819,0.066727,0.077732,0.088839,0.088839,0.10005,0.11138,0.12282,0.12282,0.13438,0.14607,0.1579,0.1579,0.16987,0.182,0.19428,0.19428,0.20668,0.21915
1500,100,500,3.33e-05,2,12884901.8879,0.0078019,0.012352,0.021026,0.021026,0.029675,0.038407,0.038407,0.047261,0.047261,0.056264,0.060795,0.065365,0.07463,0.07933,0.084081,0.088886,0.093752,0.10371,0.10886,0.11408,0.11941,0.12765,0.13335,0.1422,0.14845
1,10,200,3.33e-05,3,707998.5151,0.0038497,0.007165,0.013897,0.013897,0.020722,0.020722,0.027652,0.027652,0.034709,0.03826,0.041845,0.045467,0.049128,0.052834,0.056593,0.060418,0.06434,0.068313,0.072376,0.076561,0.082087,0.086735,0.091657,0.09696,0.10386
1500,100,500,3.33e-05,3,36000000.0,0.0024224,0.0031486,0.0031486,0.0041657,0.0041657,0.0041657,0.0041657,0.005656,0.005656,0.005656,0.005656,0.005656,0.005656,0.0074118,0.0074118,0.0074118,0.0074118,0.0074118,0.0074118,0.0089743,0.0089743,0.0089743,0.0089743,0.0089743,0.0093186
1,10,200,3.33e-05,4,4456028.5695,0.0040009,0.0074739,0.0074739,0.010974,0.014504,0.018066,0.021663,0.025296,0.025296,0.028969,0.032684,0.036444,0.040255,0.044122,0.044122,0.048053,0.052068,0.056236,0.060495,0.062692,0.06726,0.070823,0.0746,0.079791,0.087268
1500,100,500,3.33e-05,4,36000000.0,0.00087509,0.0010392,0.0010392,0.0012511,0.0012511,0.0012511,0.0012511,0.0015201,0.0015201,0.0015201,0.0015201,0.0015201,0.0015201,0.0017889,0.0017889,0.0017889,0.0017889,0.0017889,0.0017889,0.0019978,0.0019978,0.0019978,0.0019978,0.0019978,0.0020426
1500,100,500,3.33e-05,5,36000000.0,0.00055885,0.00059277,0.00059277,0.00064376,0.00064376,0.00064376,0.00064376,0.00071642,0.00071642,0.00071642,0.00071642,0.00071642,0.00071642,0.00079381,0.00079381,0.00079381,0.00079381,0.00079381,0.00079381,0.00085556,0.00085556,0.00085556,0.00085556,0.00085556,0.00086886
1,10,200,3.33e-05,5,24051816.8575,0.0023904,0.0042163,0.0079139,0.0079139,0.01165,0.01165,0.015431,0.015431,0.019265,0.023166,0.023166,0.027167,0.029182,0.031221,0.033289,0.03539,0.037532,0.039731,0.043175,0.04554,0.047997,0.051308,0.05417,0.058042,0.06438
1,10,300,3.33e-05,1,29360.1279,0.0048908,0.0092409,0.017995,0.017995,0.035733,0.035733,0.044637,0.053595,0.053595,0.062606,0.07167,0.07167,0.080785,0.089949,0.099155,0.099155,0.1084,0.11767,0.11767,0.12697,0.13628,0.13628,0.14558,0.15485,0.15947
1,10,300,3.33e-05,2,244947.3535,0.0034145,0.006286,0.012079,0.012079,0.023894,0.023894,0.029837,0.035836,0.041893,0.041893,0.048012,0.054199,0.054199,0.060461,0.066806,0.073257,0.073257,0.079891,0.086635,0.090083,0.097273,0.10099,0.10672,0.11284,0.11913
500,100,100,3.33e-05,1,56832.8191,0.0068188,0.011408,0.020296,0.020296,0.038134,0.038134,0.04708,0.04708,0.056079,0.06513,0.06513,0.074234,0.083387,0.083387,0.092585,0.10182,0.11109,0.11109,0.12038,0.12968,0.12968,0.13898,0.14826,0.15288,0.15691
500,100,100,3.33e-05,2,979789.4143,0.006581,0.0099294,0.016059,0.016059,0.028116,0.028116,0.034147,0.040225,0.046363,0.046363,0.052568,0.058848,0.058848,0.065217,0.071701,0.074965,0.081571,0.084918,0.091717,0.095178,0.10227,0.10595,0.11177,0.11811,0.12469
1,10,300,3.33e-05,3,2060242.1247,0.004463,0.0084072,0.0084072,0.016452,0.016452,0.016452,0.024653,0.024653,0.028782,0.032954,0.032954,0.037174,0.04145,0.045793,0.05023,0.052465,0.054721,0.059303,0.061636,0.066418,0.068895,0.074193,0.078486,0.083447,0.088726
500,100,100,3.33e-05,3,19327352.8319,0.0089772,0.013442,0.013442,0.02188,0.026054,0.026054,0.030238,0.03445,0.0387,0.042993,0.047334,0.051727,0.056177,0.06069,0.065277,0.065277,0.072322,0.074705,0.079544,0.0845,0.089617,0.095076,0.099442,0.10424,0.11219
1,10,300,3.33e-05,4,20186346.2911,0.0032786,0.0060146,0.0060146,0.011583,0.011583,0.017239,0.017239,0.023008,0.023008,0.02591,0.028843,0.03181,0.034814,0.037863,0.040969,0.044157,0.047387,0.050692,0.054094,0.057639,0.060465,0.064433,0.068336,0.072732,0.079045
500,100,100,3.33e-05,4,36000000.0,0.0038637,0.0048398,0.0048398,0.0062203,0.0062203,0.0062203,0.0062203,0.0082983,0.0082983,0.0082983,0.0082983,0.0082983,0.0082983,0.010833,0.010833,0.010833,0.010833,0.010833,0.010833,0.013156,0.013156,0.013156,0.013156,0.013156,0.013671
1,10,300,3.33e-05,5,36000000.0,0.0010469,0.0015293,0.0015293,0.0024885,0.0024885,0.0024885,0.0024885,0.0044153,0.0044153,0.0044153,0.0044153,0.0044153,0.0044153,0.007244,0.007244,0.007244,0.007244,0.007244,0.007244,0.010096,0.010096,0.010096,0.010096,0.010096,0.010737
500,100,100,3.33e-05,5,36000000.0,0.002063,0.0024056,0.0024056,0.0028248,0.0028248,0.0028248,0.0028248,0.0033464,0.0033464,0.0033464,0.0033464,0.0033464,0.0033464,0.0038693,0.0038693,0.0038693,0.0038693,0.0038693,0.0038693,0.0042796,0.0042796,0.0042796,0.0042796,0.0042796,0.0043677
1,10,400,3.33e-05,1,45298.4831,0.0070646,0.013611,0.026835,0.026835,0.033467,0.04013,0.053603,0.053603,0.067217,0.067217,0.080981,0.087897,0.094853,0.10894,0.10894,0.12321,0.12321,0.13039,0.14489,0.15222,0.15222,0.16713,0.17462,0.18215,0.18971
500,100,200,3.33e-05,1,78852.9151,0.0098012,0.017435,0.017435,0.032677,0.032677,0.048056,0.048056,0.06361,0.06361,0.071423,0.079284,0.087194,0.095152,0.10316,0.11122,0.11933,0.12749,0.1357,0.14397,0.1523,0.16067,0.16067,0.1776,0.18608,0.19033
500,100,200,3.33e-05,2,1530082.0991,0.0077634,0.01239,0.021235,0.021235,0.030063,0.030063,0.038982,0.048032,0.048032,0.057246,0.061886,0.066569,0.071299,0.076079,0.080915,0.085815,0.090789,0.098421,0.10359,0.11153,0.11696,0.12254,0.12827,0.13417,0.14374
1,10,400,3.33e-05,2,557003.5711,0.0070078,0.013544,0.013544,0.020139,0.026798,0.033525,0.040323,0.047196,0.047196,0.054149,0.061188,0.068318,0.075549,0.082892,0.082892,0.094143,0.097944,0.10565,0.11352,0.11753,0.12571,0.13422,0.13874,0.14842,0.15605
1,10,400,3.33e-05,3,5147249.8687,0.0038515,0.0071717,0.0071717,0.013921,0.013921,0.020771,0.020771,0.027732,0.027732,0.034828,0.0384,0.042008,0.042008,0.045654,0.049343,0.053081,0.056878,0.060753,0.064786,0.068909,0.074373,0.07782,0.082706,0.088189,0.094209
500,100,200,3.33e-05,3,27058293.9647,0.0066299,0.0096918,0.015147,0.015147,0.025783,0.025783,0.025783,0.031097,0.036472,0.036472,0.041942,0.044694,0.047469,0.053101,0.055962,0.058858,0.061795,0.06783,0.070987,0.074199,0.079209,0.082751,0.088717,0.095321,0.10354
1,10,400,3.33e-05,4,36000000.0,0.0022808,0.0040035,0.0040035,0.0074837,0.0074837,0.010994,0.010994,0.010994,0.014538,0.014538,0.018116,0.018116,0.018116,0.021731,0.021731,0.025385,0.025385,0.029081,0.029081,0.029081,0.032821,0.032821,0.03661,0.03661,0.038426
500,100,200,3.33e-05,4,36000000.0,0.0027346,0.0034716,0.0034716,0.0044764,0.0044764,0.0044764,0.0044764,0.0059098,0.0059098,0.0059098,0.0059098,0.0059098,0.0059098,0.0075611,0.0075611,0.0075611,0.0075611,0.0075611,0.0075611,0.0090083,0.0090083,0.0090083,0.0090083,0.0090083,0.0093261
1,10,400,3.33e-05,5,36000000.0,0.00066204,0.00078687,0.00078687,0.0010222,0.0010222,0.0010222,0.0010222,0.0014807,0.0014807,0.0014807,0.0014807,0.0014807,0.0014807,0.0021431,0.0021431,0.0021431,0.0021431,0.0021431,0.0021431,0.0028049,0.0028049,0.0028049,0.0028049,0.0028049,0.0029541
500,100,200,3.33e-05,5,36000000.0,0.0013013,0.0015639,0.0015639,0.0018879,0.0018879,0.0018879,0.0018879,0.0022891,0.0022891,0.0022891,0.0022891,0.0022891,0.0022891,0.0026863,0.0026863,0.0026863,0.0026863,0.0026863,0.0026863,0.0029943,0.0029943,0.0029943,0.0029943,0.0029943,0.0030603
1,10,500,3.33e-05,1,63753.4207,0.010989,0.021528,0.021528,0.032141,0.042834,0.053612,0.053612,0.064481,0.075444,0.086508,0.086508,0.097676,0.10895,0.12035,0.12035,0.13186,0.1435,0.15527,0.15527,0.16718,0.17925,0.19147,0.19147,0.20381,0.21622
500,100,300,3.33e-05,1,87241.5231,0.008596,0.015293,0.0286,0.0286,0.041995,0.041995,0.055519,0.055519,0.069185,0.069185,0.083003,0.083003,0.096979,0.104,0.11106,0.11817,0.12532,0.1325,0.13974,0.13974,0.15444,0.16183,0.16927,0.16927,0.1843
1,10,500,3.33e-05,2,724775.7311,0.0046771,0.00883,0.01725,0.01725,0.025775,0.025775,0.034413,0.034413,0.043177,0.043177,0.052083,0.052083,0.061184,0.065774,0.070416,0.075118,0.079893,0.087238,0.092223,0.097311,0.10253,0.11067,0.11635,0.12222,0.12814
500,100,300,3.33e-05,2,2120640.1023,0.0099048,0.016728,0.016728,0.023451,0.030191,0.036986,0.04385,0.04385,0.050793,0.057819,0.064934,0.064934,0.072146,0.079463,0.086903,0.094502,0.098333,0.1022,0.11006,0.11813,0.12226,0.1309,0.13767,0.14495,0.15244
1,10,500,3.33e-05,3,8683887.0015,0.0039311,0.0073333,0.0073333,0.014254,0.014254,0.014254,0.021283,0.021283,0.028432,0.028432,0.028432,0.035747,0.039436,0.039436,0.043172,0.046964,0.050832,0.054858,0.056896,0.058972,0.063322,0.066741,0.070351,0.075803,0.080892
500,100,300,3.33e-05,3,36000000.0,0.0073217,0.011173,0.011173,0.018312,0.018312,0.025361,0.025361,0.025361,0.032469,0.032469,0.039721,0.039721,0.043376,0.047075,0.050828,0.050828,0.05465,0.058586,0.062583,0.066693,0.068811,0.073215,0.076634,0.0802,0.085033
1,10,500,3.33e-05,4,36000000.0,0.0012652,0.0019703,0.0019703,0.0033798,0.0033798,0.0033798,0.0033798,0.0062208,0.0062208,0.0062208,0.0062208,0.0062208,0.0062208,0.010406,0.010406,0.010406,0.010406,0.010406,0.010406,0.014639,0.014639,0.014639,0.014639,0.014639,0.015592
500,100,300,3.33e-05,4,36000000.0,0.0019297,0.0025009,0.0025009,0.0032727,0.0032727,0.0032727,0.0032727,0.0043444,0.0043444,0.0043444,0.0043444,0.0043444,0.0043444,0.0055371,0.0055371,0.0055371,0.0055371,0.0055371,0.0055371,0.0065517,0.0065517,0.0065517,0.0065517,0.0065517,0.0067732
1,10,500,3.33e-05,5,114.5087,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050972,0.00050972,0.00050972
500,100,300,3.33e-05,5,36000000.0,0.00084191,0.0010109,0.0010109,0.0012386,0.0012386,0.0012386,0.0012386,0.0015361,0.0015361,0.0015361,0.0015361,0.0015361,0.0015361,0.0018379,0.0018379,0.0018379,0.0018379,0.0018379,0.0018379,0.002074,0.002074,0.002074,0.002074,0.002074,0.0021246
500,100,400,3.33e-05,1,93952.4095,0.0076588,0.013628,0.02544,0.02544,0.037306,0.037306,0.049268,0.049268,0.061339,0.073526,0.073526,0.085838,0.085838,0.098278,0.098278,0.11085,0.12357,0.12357,0.13645,0.13645,0.14955,0.15614,0.16276,0.16276,0.17615
500,100,400,3.33e-05,2,2469606.1951,0.0081253,0.013588,0.013588,0.024256,0.024256,0.03501,0.03501,0.040413,0.045862,0.051363,0.056919,0.062535,0.068216,0.073971,0.079812,0.085765,0.088761,0.094828,0.101,0.10731,0.1138,0.11712,0.12403,0.13137,0.13903
500,100,400,3.33e-05,3,36000000.0,0.0056961,0.0085902,0.0085902,0.013732,0.013732,0.018686,0.018686,0.018686,0.023602,0.023602,0.028535,0.028535,0.028535,0.033511,0.033511,0.038542,0.038542,0.043636,0.043636,0.043636,0.048797,0.048797,0.054032,0.054032,0.056544
500,100,400,3.33e-05,4,36000000.0,0.0013809,0.0018138,0.0018138,0.0024122,0.0024122,0.0024122,0.0024122,0.0032433,0.0032433,0.0032433,0.0032433,0.0032433,0.0032433,0.0041548,0.0041548,0.0041548,0.0041548,0.0041548,0.0041548,0.0049176,0.0049176,0.0049176,0.0049176,0.0049176,0.0050836
500,100,400,3.33e-05,5,36000000.0,0.00064019,0.00072671,0.00072671,0.00085862,0.00085862,0.00085862,0.00085862,0.0010512,0.0010512,0.0010512,0.0010512,0.0010512,0.0010512,0.0012612,0.0012612,0.0012612,0.0012612,0.0012612,0.0012612,0.001432,0.001432,0.001432,0.001432,0.001432,0.0014689
500,100,500,3.33e-05,1,127506.8415,0.012296,0.022919,0.022919,0.03357,0.044294,0.055104,0.055104,0.066005,0.077003,0.088103,0.088103,0.099309,0.11063,0.12206,0.12206,0.13361,0.14529,0.15711,0.15711,0.16907,0.18119,0.19346,0.19346,0.20584,0.21831
500,100,500,3.33e-05,2,3315177.8815,0.0067988,0.011298,0.019937,0.019937,0.028564,0.037279,0.037279,0.046116,0.055101,0.055101,0.064183,0.068783,0.073427,0.078116,0.087647,0.092498,0.097417,0.10242,0.11011,0.11534,0.12338,0.12889,0.13745,0.14664,0.15212
500,100,500,3.33e-05,3,36000000.0,0.0045229,0.006793,0.006793,0.010691,0.010691,0.010691,0.010691,0.017969,0.017969,0.017969,0.017969,0.023193,0.023193,0.023193,0.028432,0.028432,0.028432,0.028432,0.03372,0.03372,0.03372,0.039071,0.039071,0.039071,0.041494
500,100,500,3.33e-05,4,36000000.0,0.0010337,0.0013462,0.0013462,0.0018007,0.0018007,0.0018007,0.0018007,0.0024487,0.0024487,0.0024487,0.0024487,0.0024487,0.0024487,0.0031629,0.0031629,0.0031629,0.0031629,0.0031629,0.0031629,0.0037582,0.0037582,0.0037582,0.0037582,0.0037582,0.0038876
500,100,500,3.33e-05,5,36000000.0,0.00056398,0.00060582,0.00060582,0.00067456,0.00067456,0.00067456,0.00067456,0.00078418,0.00078418,0.00078418,0.00078418,0.00078418,0.00078418,0.00091368,0.00091368,0.00091368,0.00091368,0.00091368,0.00091368,0.0010247,0.0010247,0.0010247,0.0010247,0.0010247,0.001049
1,100,100,3.33e-05,1,12163.4815,0.0070245,0.013515,0.026625,0.026625,0.039857,0.039857,0.05322,0.066724,0.066724,0.080375,0.087233,0.09413,0.10809,0.10809,0.11511,0.12928,0.13642,0.14361,0.15085,0.15813,0.16547,0.18033,0.18033,0.19536,0.20289
2000,10,100,3.33e-05,1,255013.6831,0.025233,0.039263,0.039263,0.051912,0.06384,0.075365,0.075365,0.086663,0.09784,0.10897,0.10897,0.12009,0.13125,0.14247,0.14247,0.15376,0.16514,0.17663,0.17663,0.18822,0.19993,0.21174,0.21174,0.22364,0.23559
1,100,100,3.33e-05,2,35232.1535,0.0069315,0.013355,0.019835,0.019835,0.026378,0.032987,0.039667,0.046421,0.053254,0.053254,0.060169,0.067172,0.074271,0.081474,0.088799,0.088799,0.10006,0.10388,0.11164,0.1196,0.1237,0.13217,0.14113,0.1458,0.15561
2000,10,100,3.33e-05,2,12240656.7935,0.02438,0.033431,0.040934,0.047576,0.0592,0.0592,0.069939,0.080201,0.080201,0.085235,0.095136,0.10004,0.10493,0.10983,0.11475,0.11969,0.12468,0.1349,0.13749,0.1454,0.15078,0.15627,0.16187,0.17072,0.17667
1,100,100,3.33e-05,3,90596.9663,0.0038096,0.0070547,0.01363,0.01363,0.020297,0.020297,0.02707,0.02707,0.033967,0.037438,0.04094,0.044477,0.04805,0.051662,0.055317,0.059019,0.062777,0.066604,0.072522,0.076558,0.08071,0.087377,0.090985,0.097594,0.10384
2000,10,100,3.33e-05,3,36000000.0,0.012038,0.014974,0.014974,0.018725,0.018725,0.018725,0.018725,0.023606,0.023606,0.023606,0.023606,0.023606,0.023606,0.028693,0.028693,0.028693,0.028693,0.028693,0.028693,0.032796,0.032796,0.032796,0.032796,0.032796,0.033681
1,100,100,3.33e-05,4,228170.1375,0.0022615,0.0039438,0.0073182,0.0073182,0.014207,0.014207,0.017669,0.017669,0.021169,0.024711,0.024711,0.028302,0.031951,0.035678,0.035678,0.039554,0.041516,0.043513,0.047669,0.049814,0.053144,0.056705,0.060028,0.064542,0.069967
2000,10,100,3.33e-05,4,36000000.0,0.0055234,0.0065799,0.0065799,0.0078284,0.0078284,0.0078284,0.0078284,0.0093107,0.0093107,0.0093107,0.0093107,0.0093107,0.0093107,0.010725,0.010725,0.010725,0.010725,0.010725,0.010725,0.011792,0.011792,0.011792,0.011792,0.011792,0.012019
2000,10,100,3.33e-05,5,36000000.0,0.0031667,0.0037024,0.0037024,0.0043139,0.0043139,0.0043139,0.0043139,0.0050128,0.0050128,0.0050128,0.0050128,0.0050128,0.0050128,0.005657,0.005657,0.005657,0.005657,0.005657,0.005657,0.0061312,0.0061312,0.0061312,0.0061312,0.0061312,0.0062317
2000,10,200,3.33e-05,1,281857.2287,0.023435,0.036937,0.049093,0.049093,0.060538,0.071578,0.082383,0.093058,0.10367,0.10367,0.11427,0.12489,0.13556,0.14628,0.15709,0.15709,0.16798,0.17898,0.19008,0.20129,0.21262,0.21262,0.22405,0.23557,0.24717
1,100,100,3.33e-05,5,771751.9359,0.0023643,0.0041379,0.0077031,0.0077031,0.0077031,0.015102,0.015102,0.018836,0.018836,0.022649,0.024566,0.026502,0.028458,0.030437,0.032442,0.034478,0.038708,0.039797,0.043205,0.045606,0.04884,0.051894,0.057303,0.061592,0.067089
2000,10,200,3.33e-05,2,12025908.4287,0.022021,0.030592,0.043471,0.043471,0.054525,0.054525,0.06463,0.06463,0.074218,0.078906,0.083522,0.088087,0.097128,0.10163,0.10614,0.11067,0.11522,0.11982,0.12448,0.13164,0.13648,0.1414,0.14922,0.15461,0.16016
1,100,200,3.33e-05,1,21810.3807,0.0070456,0.013567,0.026743,0.026743,0.040042,0.040042,0.053475,0.053475,0.06705,0.06705,0.080773,0.080773,0.094651,0.10162,0.10864,0.11569,0.12278,0.12992,0.1371,0.1371,0.15169,0.15169,0.16651,0.17394,0.18139
2000,10,200,3.33e-05,3,36000000.0,0.010105,0.012889,0.012889,0.016441,0.016441,0.016441,0.016441,0.021049,0.021049,0.021049,0.021049,0.021049,0.021049,0.025832,0.025832,0.025832,0.025832,0.025832,0.025832,0.029678,0.029678,0.029678,0.029678,0.029678,0.030507
1,100,200,3.33e-05,2,130862.2847,0.0069715,0.013456,0.013456,0.020001,0.026611,0.03329,0.03329,0.040041,0.046868,0.053775,0.060768,0.060768,0.067851,0.075033,0.082325,0.082325,0.089749,0.097395,0.10518,0.10917,0.1174,0.12375,0.13028,0.13732,0.14455
2000,10,200,3.33e-05,4,36000000.0,0.0038805,0.0048636,0.0048636,0.0060372,0.0060372,0.0060372,0.0060372,0.007438,0.007438,0.007438,0.007438,0.007438,0.007438,0.0087771,0.0087771,0.0087771,0.0087771,0.0087771,0.0087771,0.0097881,0.0097881,0.0097881,0.0097881,0.0097881,0.010003
2000,10,200,3.33e-05,5,36000000.0,0.0017199,0.0021699,0.0021699,0.0027108,0.0027108,0.0027108,0.0027108,0.0033485,0.0033485,0.0033485,0.0033485,0.0033485,0.0033485,0.003946,0.003946,0.003946,0.003946,0.003946,0.003946,0.004389,0.004389,0.004389,0.004389,0.004389,0.004483
2000,10,300,3.33e-05,1,322122.5471,0.021839,0.034837,0.046533,0.057532,0.068127,0.078484,0.088702,0.098851,0.10897,0.11911,0.12927,0.13949,0.13949,0.14977,0.16013,0.17058,0.18112,0.19176,0.20251,0.21337,0.22435,0.23542,0.24659,0.25785,0.26919
1,100,200,3.33e-05,3,657666.8671,0.0038312,0.0071159,0.0071159,0.013786,0.013786,0.020556,0.020556,0.027437,0.027437,0.034451,0.037981,0.041546,0.045148,0.04879,0.052475,0.056211,0.060007,0.063883,0.067924,0.069972,0.074202,0.07873,0.08355,0.088965,0.095607
2000,10,300,3.33e-05,2,12025908.4287,0.019865,0.02799,0.040132,0.040132,0.050496,0.050496,0.059911,0.059911,0.068768,0.077292,0.077292,0.085639,0.085639,0.093962,0.098109,0.10226,0.10642,0.11061,0.11484,0.11913,0.12585,0.13041,0.13745,0.14243,0.1475
1,100,200,3.33e-05,4,3274912.5631,0.0022714,0.0039746,0.0074048,0.0074048,0.014437,0.014437,0.014437,0.017976,0.017976,0.021559,0.025195,0.025195,0.028899,0.032709,0.032709,0.036576,0.038549,0.040555,0.042602,0.044706,0.048052,0.051615,0.054283,0.058027,0.063377
2000,10,300,3.33e-05,3,36000000.0,0.0083533,0.010975,0.010975,0.014331,0.014331,0.014331,0.014331,0.018683,0.018683,0.018683,0.018683,0.018683,0.018683,0.023191,0.023191,0.023191,0.023191,0.023191,0.023191,0.026805,0.026805,0.026805,0.026805,0.026805,0.027584
2000,10,300,3.33e-05,4,36000000.0,0.0025508,0.003397,0.003397,0.0044511,0.0044511,0.0044511,0.0044511,0.0057411,0.0057411,0.0057411,0.0057411,0.0057411,0.0057411,0.00699,0.00699,0.00699,0.00699,0.00699,0.00699,0.0079381,0.0079381,0.0079381,0.0079381,0.0079381,0.0081402
1,100,200,3.33e-05,5,24910810.3167,0.0023782,0.0041803,0.0078209,0.0078209,0.011499,0.011499,0.015223,0.019003,0.019003,0.022849,0.022849,0.02679,0.028774,0.030782,0.032814,0.036971,0.039108,0.041301,0.04358,0.045899,0.049524,0.052105,0.055779,0.060008,0.067084
2000,10,300,3.33e-05,5,36000000.0,0.00092194,0.0011731,0.0011731,0.0015327,0.0015327,0.0015327,0.0015327,0.0020156,0.0020156,0.0020156,0.0020156,0.0020156,0.0020156,0.0025043,0.0025043,0.0025043,0.0025043,0.0025043,0.0025043,0.0028814,0.0028814,0.0028814,0.0028814,0.0028814,0.002962
2000,10,400,3.33e-05,1,382520.5247,0.020416,0.033255,0.044403,0.065059,0.074974,0.084754,0.094463,0.10414,0.11383,0.12353,0.14309,0.15297,0.16292,0.17296,0.18309,0.19332,0.20365,0.22465,0.23532,0.24611,0.25701,0.26802,0.27914,0.29036,0.30734
1,100,300,3.33e-05,1,31876.7103,0.0092253,0.017963,0.017963,0.026753,0.035598,0.035598,0.053547,0.053547,0.062567,0.071648,0.071648,0.08079,0.089992,0.099254,0.099254,0.10857,0.11795,0.12737,0.12737,0.13684,0.14635,0.15589,0.15589,0.16545,0.17499
2000,10,400,3.33e-05,2,15891378.9951,0.017907,0.02561,0.037083,0.046834,0.055651,0.055651,0.063905,0.071803,0.079475,0.079475,0.087012,0.094488,0.10197,0.10571,0.10946,0.11698,0.12077,0.12842,0.13229,0.14017,0.14419,0.15249,0.15684,0.16607,0.17082
1,100,300,3.33e-05,2,255013.6831,0.0062677,0.012037,0.012037,0.023812,0.023812,0.029739,0.029739,0.035722,0.041766,0.047874,0.047874,0.05405,0.060301,0.066637,0.066637,0.073074,0.079663,0.082985,0.089736,0.093176,0.10026,0.10585,0.11159,0.11784,0.12425
2000,10,400,3.33e-05,3,36000000.0,0.0068125,0.0092511,0.0092511,0.012404,0.012404,0.012404,0.012404,0.016507,0.016507,0.016507,0.016507,0.016507,0.016507,0.020756,0.020756,0.020756,0.020756,0.020756,0.020756,0.02416,0.02416,0.02416,0.02416,0.02416,0.024893
1,100,300,3.33e-05,3,1986422.3743,0.0025021,0.0044471,0.0083664,0.0083664,0.016364,0.016364,0.024523,0.024523,0.028632,0.028632,0.032785,0.036987,0.041244,0.041244,0.045564,0.049969,0.054553,0.056877,0.059246,0.062917,0.066686,0.070611,0.074787,0.079605,0.085424
2000,10,400,3.33e-05,4,36000000.0,0.0016473,0.0022873,0.0022873,0.0031566,0.0031566,0.0031566,0.0031566,0.0042837,0.0042837,0.0042837,0.0042837,0.0042837,0.0042837,0.0054096,0.0054096,0.0054096,0.0054096,0.0054096,0.0054096,0.0062776,0.0062776,0.0062776,0.0062776,0.0062776,0.0064632
2000,10,400,3.33e-05,5,36000000.0,0.00065166,0.00075576,0.00075576,0.00092762,0.00092762,0.00092762,0.00092762,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0015141,0.0015141,0.0015141,0.0015141,0.0015141,0.0015141,0.0017768,0.0017768,0.0017768,0.0017768,0.0017768,0.0018339
2000,10,500,3.33e-05,1,389231.4111,0.01914,0.031203,0.042064,0.062074,0.071641,0.08106,0.090395,0.099689,0.10897,0.1276,0.13698,0.14641,0.15591,0.16548,0.17513,0.19469,0.20462,0.21464,0.22476,0.23499,0.24532,0.2663,0.2663,0.28767,0.29838
1,100,300,3.33e-05,4,19917910.8351,0.0032664,0.0059807,0.0059807,0.011502,0.011502,0.017114,0.017114,0.022841,0.022841,0.025723,0.028635,0.031581,0.034565,0.037591,0.040669,0.043817,0.047086,0.048739,0.052127,0.055685,0.059402,0.063364,0.067286,0.071749,0.077663
2000,10,500,3.33e-05,2,17394617.5487,0.023438,0.034295,0.034295,0.043494,0.051783,0.059514,0.066881,0.066881,0.074006,0.080972,0.087836,0.094644,0.10144,0.10144,0.10825,0.11512,0.12212,0.12564,0.13277,0.13638,0.14375,0.15141,0.15541,0.16385,0.17035
1,100,300,3.33e-05,5,36000000.0,0.0010461,0.0015266,0.0015266,0.0024796,0.0024796,0.0024796,0.0024796,0.0043892,0.0043892,0.0043892,0.0043892,0.0043892,0.0043892,0.0071888,0.0071888,0.0071888,0.0071888,0.0071888,0.0071888,0.01001,0.01001,0.01001,0.01001,0.01001,0.010645
1,100,400,3.33e-05,1,46976.2047,0.0070563,0.013593,0.026802,0.026802,0.040136,0.046828,0.046828,0.060365,0.074049,0.074049,0.087887,0.087887,0.10189,0.10892,0.116,0.12312,0.13028,0.13749,0.14474,0.15948,0.16689,0.17434,0.18183,0.18935,0.1969
2000,10,500,3.33e-05,3,36000000.0,0.0054997,0.00773,0.00773,0.010665,0.010665,0.010665,0.010665,0.014519,0.014519,0.014519,0.014519,0.014519,0.014519,0.018521,0.018521,0.018521,0.018521,0.018521,0.018521,0.021727,0.021727,0.021727,0.021727,0.021727,0.022418
2000,10,500,3.33e-05,4,36000000.0,0.0011307,0.0015581,0.0015581,0.0022047,0.0022047,0.0022047,0.0022047,0.0031191,0.0031191,0.0031191,0.0031191,0.0031191,0.0031191,0.0040827,0.0040827,0.0040827,0.0040827,0.0040827,0.0040827,0.0048466,0.0048466,0.0048466,0.0048466,0.0048466,0.0050108
1,100,400,3.33e-05,2,563504.7423,0.0069917,0.013508,0.020085,0.020085,0.026729,0.033443,0.04023,0.047094,0.054039,0.054039,0.061071,0.068195,0.075419,0.082757,0.090233,0.093998,0.10163,0.1055,0.11336,0.12141,0.12552,0.134,0.14073,0.15049,0.15794
