tau_s,b,tau_0,gamma_0,n,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25
2000,1,500,3.33e-05,5,685.79749999994,0.00050971,0.00050971,0.00050971,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050973,0.00050973,0.00050973,0.00050973,0.00050973,0.00050973,0.00050973,0.00050973,0.00050974,0.00050974,0.00050974,0.00050974,0.00050974,0.00050974,0.00050974
500,10,100,3.33e-05,5,36000000.0,0.0079385,0.0098508,0.0098508,0.012127,0.012127,0.012127,0.012127,0.014853,0.014853,0.014853,0.014853,0.014853,0.014853,0.017478,0.017478,0.017478,0.017478,0.017478,0.017478,0.019473,0.019473,0.019473,0.019473,0.019473,0.019898
1000,100,300,3.33e-05,5,36000000.0,0.00076998,0.00088044,0.00088044,0.0010193,0.0010193,0.0010193,0.0010193,0.0011899,0.0011899,0.0011899,0.0011899,0.0011899,0.0011899,0.001355,0.001355,0.001355,0.001355,0.001355,0.001355,0.0014801,0.0014801,0.0014801,0.0014801,0.0014801,0.0015068
1500,10,500,3.33e-05,1,228170.1375,0.012887,0.021304,0.035448,0.04837,0.04837,0.060648,0.07257,0.07257,0.084297,0.095929,0.095929,0.10753,0.11915,0.13082,0.13082,0.14256,0.15438,0.15438,0.16631,0.17834,0.17834,0.19048,0.2027,0.2088,0.21493
1000,100,400,3.33e-05,1,157705.8303,0.0098013,0.017435,0.017435,0.032677,0.032677,0.048056,0.048056,0.06361,0.06361,0.071423,0.079285,0.087194,0.095152,0.10316,0.11122,0.11933,0.12749,0.1357,0.14397,0.1523,0.16067,0.16067,0.1776,0.18608,0.19033
500,10,200,3.33e-05,1,77175.1935,0.016023,0.026848,0.036635,0.045829,0.045829,0.063145,0.063145,0.079942,0.079942,0.088255,0.096523,0.10477,0.11302,0.12127,0.12955,0.13786,0.14621,0.15459,0.15459,0.16302,0.17149,0.18001,0.18856,0.19716,0.20579
1500,10,500,3.33e-05,2,10093173.1455,0.018919,0.028171,0.035949,0.042894,0.042894,0.055188,0.055188,0.066665,0.066665,0.072249,0.077731,0.083146,0.088519,0.093876,0.09924,0.10464,0.11011,0.11561,0.12118,0.12683,0.1297,0.13553,0.14152,0.15124,0.15457
1000,100,400,3.33e-05,2,6120328.3967,0.0077634,0.01239,0.021235,0.021235,0.030063,0.030063,0.038982,0.048032,0.048032,0.057246,0.061886,0.066569,0.071299,0.076079,0.080915,0.085815,0.090789,0.098421,0.10359,0.11153,0.11696,0.12254,0.12827,0.13417,0.14374
500,10,200,3.33e-05,2,1503238.5535,0.01802,0.027271,0.035083,0.042078,0.054504,0.060438,0.066182,0.071788,0.077296,0.082735,0.088127,0.093492,0.10421,0.10958,0.11499,0.12044,0.12596,0.13155,0.14015,0.14598,0.15191,0.15798,0.16736,0.17424,0.18115
1500,10,500,3.33e-05,3,36000000.0,0.0062067,0.008941,0.008941,0.012622,0.012622,0.012622,0.012622,0.017575,0.017575,0.017575,0.017575,0.017575,0.017575,0.022836,0.022836,0.022836,0.022836,0.022836,0.022836,0.027125,0.027125,0.027125,0.027125,0.027125,0.028051
