D0,QD,FN0,QFN,T0,gamma,Nc,D,FN,realisation,temperature,stress,time_failure,strain_1,strain_2,strain_3,strain_4,strain_5,strain_6,strain_7,strain_8,strain_9,strain_10
1.574e-07,91750.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,2.2422149535773288e-14,3648.2628807703495,0,700,105,17391120.80761,0.0048372099119266,0.0087644720226641,0.012642815931772,0.016810222964031,0.020635777293897,0.024448207997974,0.028253411994714,0.032056671744653,0.035863799331643,0.039767815262516
1.574e-07,91750.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,2.2422149535773288e-14,59928.81807421085,0,700,105,5583120.8076096,0.0021480742937989,0.0035093760687902,0.0048409307513805,0.0061593273940652,0.0074696772278492,0.0084485890597614,0.0097498816671647,0.011047956184989,0.012345715888831,0.013703306782707
1.574e-07,91750.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,2.2422149535773288e-14,7295.68823562684,0,700,105,11775120.80761,0.003507583925091,0.0064829773943425,0.0090910599603142,0.011679342255431,0.014253085358255,0.016815744320764,0.019370121213239,0.022237196140783,0.024784338030175,0.027449464621755
1.574e-07,91750.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,2.2422149535773288e-14,119843.87838486015,0,700,105,3855120.8076096,0.0017971535028343,0.0028357983884323,0.0035110183090302,0.0045121523251356,0.0055051100992778,0.006164147865285,0.0071497132322985,0.0081331938408209,0.008789435119488,0.0098217060746198
1.574e-07,91750.0,13070000000.0,97730.0,254.0,0.3711,0.0002991,2.2422149535773288e-14,666.3835272301535,0,700,105,29487120.80761,0.0077872034862548,0.014246436193987,0.020948796900331,0.027293580240534,0.033942582744876,0.040282078929066,0.046962626122641,0.053360882019982,0.060128982594569,0.066713504307146
1.574e-07,91750.0,13070000000.0,81440.0,254.0,0.3711,0.0002991,2.2422149535773288e-14,10946.463694138767,0,700,105,9327120.8076096,0.0031719075500809,0.0051690046236671,0.0074650402061279,0.0094172917867003,0.011681947610072,0.013614438372638,0.015861257912446,0.017782300516629,0.020022188830487,0.022039528779376
1.574e-07,91750.0,13070000000.0,65150.0,254.0,0.3711,0.0002991,2.2422149535773288e-14,179813.96974975572,0,700,105,3135120.8076096,0.0014633081501093,0.0024950204396408,0.0031755815201281,0.0038475672482952,0.0045144213299506,0.0051779326669074,0.0058392166048756,0.006829031500775,0.007490620701984,0.0081963823798661
1.574e-07,73400.0,4356000000.0,97730.0,254.0,0.3711,0.0002991,5.247382725874298e-13,222.09385192154159,0,700,105,21567120.80761,0.0058271365982179,0.010709519127232,0.015532157165036,0.020318703784017,0.025083691090197,0.029838334072119,0.034591948141202,0.039352763995376,0.044129427016991,0.049043709217254
1.574e-07,73400.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,5.247382725874298e-13,3648.2628807703495,0,700,105,7023120.8076096,0.0024943858525101,0.004177959170323,0.0058308882351654,0.007469551025282,0.0090989423769477,0.010397462071189,0.012015878343191,0.013630735870353,0.015245910660622,0.016943777758857
1.574e-07,110100.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,9.581020025956129e-16,59928.81807421085,0,700,105,13359120.80761,0.0041742185790473,0.007136193944955,0.01006207472831,0.012965539501028,0.016172541165865,0.019046145134539,0.021911163794233,0.024770625454423,0.02794615842832,0.030913595337967
1.574e-07,73400.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,5.247382725874298e-13,59928.81807421085,0,700,105,2559120.8076096,0.001464839451598,0.00215140058285,0.0028398416278306,0.0031793900921849,0.0038531288561286,0.0045225317650754,0.0051899648846294,0.0055237164995219,0.0061961293759985,0.0069851566864819
1.574e-07,73400.0,8711000000.0,97730.0,254.0,0.3711,0.0002991,5.247382725874298e-13,444.13671811031884,0,700,105,14655120.80761,0.0041762482205214,0.0077909081011084,0.011034526873521,0.014253570127246,0.01745506343511,0.020644119534902,0.023825046569157,0.027319551981252,0.030498067398446,0.033793556367093
1.574e-07,73400.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,5.247382725874298e-13,7295.68823562684,0,700,105,4863120.8076096,0.0021496103829933,0.0031749846872768,0.004179803529653,0.0055048500566635,0.0064921721999101,0.0074758088242162,0.0087833985873498,0.0097624885633085,0.011071637749796,0.01213601115409
1.574e-07,73400.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,5.247382725874298e-13,119843.87838486015,0,700,105,1839120.8076096,0.0012310344166361,0.0018004349157862,0.0021532149675019,0.0025002667802961,0.0031845039520224,0.0035238834026623,0.0038624497131027,0.0042009919316103,0.0048900921097211,0.0053108009692932
1.574e-07,73400.0,13070000000.0,97730.0,254.0,0.3711,0.0002991,5.247382725874298e-13,666.3835272301535,0,700,105,11631120.80761,0.0035091328308348,0.006156864546505,0.0087684000024543,0.011682164595375,0.014256828919633,0.016820781819043,0.019376969218173,0.021928297961676,0.0244792040469,0.027124624198788
1.574e-07,73400.0,13070000000.0,81440.0,254.0,0.3711,0.0002991,5.247382725874298e-13,10946.463694138767,0,700,105,3855120.8076096,0.0017983816548618,0.0028371585890082,0.003512586720503,0.0045141997864076,0.0055078730351588,0.0061675577831637,0.0071544453290442,0.0081398648745832,0.0087979021796556,0.0098328363353393
1.574e-07,73400.0,13070000000.0,65150.0,254.0,0.3711,0.0002991,5.247382725874298e-13,179813.96974975572,0,700,105,1551120.8076096,0.0012314135090161,0.0014661738405493,0.0018014074215498,0.0025026644579278,0.0028471259534036,0.0031896677462453,0.003531511334712,0.0038743757350683,0.0042249229364037,0.0046626121604528
